contrato_id,customer_id,plano_id,data_inicio,data_cancelamento,fidelidade_meses,status,motivo_cancelamento
183,183,1,2023-07-05,,12.0,ativo,
184,184,1,2022-12-19,,24.0,ativo,
185,185,2,2022-03-30,2022-09-22,12.0,cancelado,Atendimento ruim
186,186,2,2024-03-06,,,ativo,
187,187,1,2024-05-06,,12.0,ativo,
188,188,2,2022-08-15,,12.0,ativo,
189,189,2,2022-02-19,,12.0,ativo,
190,190,1,2024-06-01,,12.0,ativo,
191,191,1,2023-05-23,2024-08-29,24.0,cancelado,Atendimento ruim
192,192,1,2022-09-06,,12.0,ativo,
193,193,3,2023-08-12,,,ativo,
194,194,1,2022-06-14,,,ativo,
195,195,1,2023-10-30,2024-08-10,12.0,cancelado,Migracao para concorrente
196,196,1,2024-02-11,,,ativo,
197,197,2,2022-12-15,2024-03-26,,cancelado,Problemas de rede
198,198,2,2023-07-16,2024-06-20,12.0,cancelado,Preço alto
199,199,1,2023-11-30,2024-11-17,,cancelado,Migracao para concorrente
200,200,2,2024-06-25,,12.0,ativo,
201,201,1,2023-10-28,,12.0,ativo,
202,202,4,2022-07-18,,12.0,ativo,
203,203,2,2022-03-10,,24.0,ativo,
204,204,4,2024-02-27,,12.0,ativo,
205,205,2,2022-12-01,,,ativo,
206,206,1,2024-01-17,,24.0,ativo,
207,207,1,2022-06-20,,,ativo,
208,208,2,2022-09-14,2022-12-18,,cancelado,Preço alto
209,209,2,2023-08-02,,24.0,ativo,
210,210,1,2023-05-06,,24.0,ativo,
211,211,1,2022-09-13,,,ativo,
212,212,2,2022-01-07,2023-11-26,24.0,cancelado,Preço alto
213,213,1,2023-02-22,2024-08-22,12.0,cancelado,Atendimento ruim
214,214,2,2022-12-17,,,ativo,
215,215,3,2022-08-02,,24.0,ativo,
216,216,2,2023-06-07,2023-11-07,,cancelado,Migracao para concorrente
217,217,1,2022-08-13,,24.0,ativo,
218,218,3,2024-05-07,,12.0,ativo,
219,219,1,2024-05-26,,12.0,ativo,
220,220,1,2024-04-17,2024-08-08,24.0,cancelado,Atendimento ruim
221,221,2,2023-09-21,,,ativo,
222,222,2,2022-05-25,,,ativo,
223,223,1,2022-02-08,2022-04-23,,cancelado,Outros
224,224,3,2024-04-27,,24.0,ativo,
225,225,1,2023-09-09,,,ativo,
226,226,1,2023-02-10,,,ativo,
227,227,1,2022-06-22,,24.0,ativo,
228,228,1,2024-03-06,,12.0,ativo,
229,229,2,2022-07-24,,24.0,ativo,
230,230,1,2023-06-13,,12.0,ativo,
231,231,3,2023-02-02,,12.0,ativo,
232,232,2,2024-04-18,,24.0,ativo,
233,233,2,2024-06-02,,,ativo,
234,234,2,2023-09-15,,24.0,ativo,
235,235,2,2023-06-08,2024-01-18,24.0,cancelado,Preço alto
236,236,1,2022-02-22,2024-02-06,12.0,cancelado,Migracao para concorrente
237,237,3,2023-01-10,2023-10-11,24.0,cancelado,Problemas de rede
238,238,2,2023-01-03,2024-05-13,12.0,cancelado,Atendimento ruim
239,239,2,2022-08-11,,12.0,ativo,
240,240,2,2022-11-22,2023-03-12,24.0,cancelado,Outros
241,241,1,2023-06-20,,,ativo,
242,242,1,2022-05-28,,24.0,ativo,
243,243,4,2024-05-08,,,ativo,
244,244,1,2024-06-15,,,ativo,
245,245,3,2022-10-21,,24.0,ativo,
246,246,2,2022-08-12,2023-08-27,,cancelado,Outros
247,247,2,2023-04-14,,12.0,ativo,
248,248,3,2024-01-24,,,ativo,
249,249,1,2022-04-24,,12.0,ativo,
250,250,2,2022-05-09,,24.0,ativo,
251,251,1,2022-03-12,,,ativo,
252,252,1,2024-06-02,,24.0,ativo,
253,253,3,2023-04-14,2024-12-15,24.0,cancelado,Outros
254,254,3,2022-05-13,,12.0,ativo,
255,255,1,2023-01-22,,24.0,ativo,
256,256,1,2023-11-29,,24.0,ativo,
257,257,1,2023-04-01,,,ativo,
258,258,1,2024-02-16,,12.0,ativo,
259,259,4,2024-04-29,,24.0,ativo,
260,260,4,2022-09-17,,24.0,ativo,
261,261,2,2024-01-06,,24.0,ativo,
262,262,4,2023-06-03,,,ativo,
263,263,1,2024-02-10,,12.0,ativo,
264,264,3,2022-02-14,,,ativo,
265,265,2,2022-10-15,,12.0,ativo,
266,266,4,2023-08-04,2024-08-21,,cancelado,Atendimento ruim
267,267,1,2024-05-12,,,ativo,
268,268,2,2023-03-28,,24.0,ativo,
269,269,1,2022-03-19,,12.0,ativo,
270,270,3,2022-01-17,,,ativo,
271,271,2,2022-07-31,,12.0,ativo,
272,272,2,2022-10-11,,,ativo,
273,273,2,2022-04-28,,12.0,ativo,
274,274,2,2023-05-06,,24.0,ativo,
275,275,2,2024-04-14,,12.0,ativo,
276,276,1,2024-03-25,,24.0,ativo,
277,277,3,2024-04-23,,12.0,ativo,
278,278,3,2023-02-06,,24.0,ativo,
279,279,3,2022-12-30,,,ativo,
280,280,2,2024-06-20,,12.0,ativo,
281,281,1,2023-07-05,,12.0,ativo,
282,282,2,2023-10-24,,12.0,ativo,
283,283,4,2022-04-08,2024-02-19,,cancelado,Problemas de rede
284,284,1,2023-01-06,,12.0,ativo,
285,285,3,2022-04-01,,24.0,ativo,
286,286,2,2024-05-15,,24.0,ativo,
287,287,3,2023-09-30,,24.0,ativo,
288,288,2,2024-02-10,,24.0,ativo,
289,289,3,2023-11-14,,,ativo,
290,290,1,2024-05-31,,12.0,ativo,
291,291,1,2023-10-13,2024-04-03,,cancelado,Migracao para concorrente
292,292,3,2024-03-25,,12.0,ativo,
293,293,3,2023-07-10,,12.0,ativo,
294,294,1,2023-12-07,,12.0,ativo,
295,295,2,2023-08-04,,,ativo,
296,296,2,2023-01-31,,24.0,ativo,
297,297,2,2024-05-18,,24.0,ativo,
298,298,1,2022-06-25,,24.0,ativo,
299,299,2,2022-08-27,2023-12-24,24.0,cancelado,Preço alto
300,300,3,2023-08-11,2023-09-17,12.0,cancelado,Problemas de rede
301,301,3,2022-10-13,,12.0,ativo,
302,302,2,2022-05-23,,12.0,ativo,
303,303,2,2024-04-25,,,ativo,
304,304,1,2022-10-23,2024-08-01,12.0,cancelado,Atendimento ruim
305,305,4,2024-05-17,2024-06-18,12.0,cancelado,Migracao para concorrente
306,306,2,2024-03-09,,12.0,ativo,
307,307,3,2023-04-22,2024-11-04,24.0,cancelado,Preço alto
308,308,3,2022-09-17,,,ativo,
309,309,3,2023-04-25,,12.0,ativo,
310,310,1,2023-06-21,,24.0,ativo,
311,311,1,2023-08-16,,,ativo,
312,312,4,2023-05-20,,,ativo,
313,313,3,2023-12-22,,,ativo,
314,314,3,2023-10-09,2024-10-22,,cancelado,Migracao para concorrente
315,315,1,2022-04-29,2023-10-17,,cancelado,Preço alto
316,316,1,2022-12-22,,12.0,ativo,
317,317,1,2024-01-30,,24.0,ativo,
318,318,3,2023-09-14,,12.0,ativo,
319,319,1,2023-06-03,,12.0,ativo,
320,320,2,2023-09-14,,24.0,ativo,
321,321,2,2023-11-06,,,ativo,
322,322,1,2022-12-27,,12.0,ativo,
323,323,4,2023-06-30,,12.0,ativo,
324,324,1,2023-02-07,2024-10-18,12.0,cancelado,Preço alto
325,325,3,2023-12-12,,,ativo,
326,326,3,2022-11-29,2023-05-11,12.0,cancelado,Outros
327,327,3,2023-03-11,2024-08-26,,cancelado,Atendimento ruim
328,328,2,2023-09-04,,,ativo,
329,329,3,2023-09-04,,12.0,ativo,
330,330,3,2023-01-10,,,ativo,
331,331,3,2023-02-08,,24.0,ativo,
332,332,1,2022-11-15,,12.0,ativo,
333,333,1,2023-11-20,,12.0,ativo,
334,334,1,2023-11-23,,24.0,ativo,
335,335,1,2023-11-18,,24.0,ativo,
336,336,1,2024-01-19,,12.0,ativo,
337,337,4,2023-06-13,,12.0,ativo,
338,338,3,2022-05-25,,,ativo,
339,339,2,2024-03-26,,,ativo,
340,340,2,2024-05-05,,12.0,ativo,
341,341,2,2024-01-24,2024-06-06,12.0,cancelado,Problemas de rede
342,342,3,2022-08-07,,12.0,ativo,
343,343,4,2022-11-28,,24.0,ativo,
344,344,1,2024-01-01,,12.0,ativo,
345,345,2,2023-08-19,,,ativo,
346,346,1,2023-05-29,,24.0,ativo,
347,347,2,2023-12-16,,12.0,ativo,
348,348,4,2022-05-12,,12.0,ativo,
349,349,2,2023-05-21,,12.0,ativo,
350,350,3,2023-08-03,,24.0,ativo,
351,351,1,2023-03-22,2024-05-09,12.0,cancelado,Outros
352,352,2,2023-03-24,2023-08-19,24.0,cancelado,Outros
353,353,2,2023-06-05,,12.0,ativo,
354,354,1,2022-03-09,,,ativo,
355,355,2,2024-02-28,,12.0,ativo,
356,356,4,2023-03-08,2023-12-18,,cancelado,Migracao para concorrente
357,357,3,2022-06-23,,24.0,ativo,
358,358,3,2022-02-19,,,ativo,
359,359,2,2023-08-19,,12.0,ativo,
360,360,1,2022-02-02,,,ativo,
361,361,1,2024-05-11,,12.0,ativo,
362,362,2,2023-03-20,2024-12-16,,cancelado,Preço alto
363,363,3,2022-12-27,2023-09-05,24.0,cancelado,Preço alto
364,364,1,2022-10-26,,12.0,ativo,
365,365,1,2023-11-05,,24.0,ativo,
366,366,4,2023-08-12,2023-09-26,24.0,cancelado,Migracao para concorrente
367,367,1,2022-10-21,2023-06-22,,cancelado,Atendimento ruim
368,368,1,2022-07-08,,,ativo,
369,369,3,2022-09-18,,12.0,ativo,
370,370,1,2022-03-15,,24.0,ativo,
371,371,1,2023-03-09,,24.0,ativo,
372,372,3,2022-02-04,,24.0,ativo,
373,373,3,2023-09-29,,12.0,ativo,
374,374,2,2022-10-09,,,ativo,
375,375,1,2022-02-11,,24.0,ativo,
376,376,4,2022-07-12,,24.0,ativo,
377,377,2,2022-03-31,2023-01-17,24.0,cancelado,Preço alto
378,378,1,2024-03-29,,24.0,ativo,
379,379,1,2022-01-09,,12.0,ativo,
380,380,2,2022-08-13,2024-07-11,24.0,cancelado,Outros
381,381,2,2022-07-03,,12.0,ativo,
382,382,3,2022-08-29,,,ativo,
383,383,4,2022-09-01,,12.0,ativo,
384,384,2,2023-04-29,,24.0,ativo,
385,385,1,2022-08-31,,24.0,ativo,
386,386,2,2023-01-17,,12.0,ativo,
387,387,2,2023-08-28,,,ativo,
388,388,2,2023-02-03,2023-03-14,,cancelado,Outros
389,389,3,2022-02-28,,,ativo,
390,390,2,2022-09-11,2023-08-07,12.0,cancelado,Preço alto
391,391,2,2023-09-20,,24.0,ativo,
392,392,1,2022-03-28,,12.0,ativo,
393,393,3,2022-04-06,,,ativo,
394,394,1,2023-05-01,,,ativo,
395,395,1,2022-09-04,2023-06-20,24.0,cancelado,Preço alto
396,396,1,2024-05-26,,12.0,ativo,
397,397,2,2022-01-23,2022-12-21,,cancelado,Atendimento ruim
398,398,3,2022-06-25,2023-11-13,,cancelado,Preço alto
399,399,2,2024-02-12,,12.0,ativo,
400,400,3,2022-04-16,2022-09-15,,cancelado,Atendimento ruim
401,401,3,2024-04-19,,12.0,ativo,
402,402,3,2023-03-08,2024-09-22,12.0,cancelado,Outros
403,403,1,2023-12-07,,24.0,ativo,
404,404,1,2023-10-20,,,ativo,
405,405,4,2023-12-19,,24.0,ativo,
406,406,2,2022-05-05,,12.0,ativo,
407,407,4,2023-12-03,,,ativo,
408,408,2,2024-06-20,,12.0,ativo,
409,409,2,2022-06-14,,12.0,ativo,
410,410,3,2022-02-11,,12.0,ativo,
411,411,2,2022-10-27,2024-01-29,,cancelado,Atendimento ruim
412,412,2,2024-02-28,,12.0,ativo,
413,413,1,2023-07-29,,,ativo,
414,414,4,2022-09-10,,12.0,ativo,
415,415,4,2024-04-18,,,ativo,
416,416,1,2022-03-13,2023-01-26,12.0,cancelado,Preço alto
417,417,1,2024-03-14,2024-06-17,24.0,cancelado,Problemas de rede
418,418,2,2023-12-04,,24.0,ativo,
419,419,4,2024-05-29,,,ativo,
420,420,2,2023-07-12,,12.0,ativo,
421,421,2,2023-09-18,,24.0,ativo,
422,422,3,2022-04-12,,,ativo,
423,423,1,2022-07-24,,12.0,ativo,
424,424,2,2022-01-16,,24.0,ativo,
425,425,4,2022-10-27,,24.0,ativo,
426,426,2,2024-02-19,,24.0,ativo,
427,427,2,2023-01-01,2024-03-01,12.0,cancelado,Preço alto
428,428,2,2022-01-28,,24.0,ativo,
429,429,2,2022-04-25,,,ativo,
430,430,1,2022-10-25,,,ativo,
431,431,3,2024-04-30,,24.0,ativo,
432,432,3,2023-11-21,,,ativo,
433,433,4,2024-04-18,,12.0,ativo,
434,434,4,2022-05-08,,,ativo,
435,435,2,2024-06-23,,12.0,ativo,
436,436,2,2022-10-08,,,ativo,
437,437,2,2022-02-28,,12.0,ativo,
438,438,2,2023-02-21,,24.0,ativo,
439,439,4,2023-11-07,,,ativo,
440,440,2,2024-06-29,,,ativo,
441,441,2,2022-08-28,2024-01-05,24.0,cancelado,Problemas de rede
442,442,2,2022-03-14,,12.0,ativo,
443,443,1,2022-08-19,2023-11-11,12.0,cancelado,Outros
444,444,4,2024-03-19,,24.0,ativo,
445,445,2,2023-10-09,2024-05-01,24.0,cancelado,Migracao para concorrente
446,446,2,2023-07-26,,24.0,ativo,
447,447,1,2022-06-20,,,ativo,
448,448,3,2022-04-27,,12.0,ativo,
449,449,1,2024-06-19,,,ativo,
450,450,3,2024-04-30,,24.0,ativo,
451,451,4,2022-10-20,2023-11-08,,cancelado,Outros
452,452,1,2022-10-18,,,ativo,
453,453,3,2023-11-18,,12.0,ativo,
454,454,4,2022-04-18,,,ativo,
455,455,2,2023-02-20,,,ativo,
456,456,1,2022-08-15,,12.0,ativo,
457,457,2,2024-04-27,,12.0,ativo,
458,458,3,2022-06-06,,12.0,ativo,
459,459,2,2024-01-11,,12.0,ativo,
460,460,3,2024-03-09,,,ativo,
461,461,2,2022-10-19,,24.0,ativo,
462,462,2,2022-06-24,,,ativo,
463,463,2,2024-03-22,,12.0,ativo,
464,464,4,2024-05-11,,,ativo,
465,465,3,2023-08-11,,24.0,ativo,
466,466,2,2022-03-29,,24.0,ativo,
467,467,2,2022-12-24,,12.0,ativo,
468,468,1,2023-02-21,2024-03-28,24.0,cancelado,Outros
469,469,1,2024-06-11,2024-07-30,12.0,cancelado,Outros
470,470,3,2022-08-16,,,ativo,
471,471,4,2023-09-11,,12.0,ativo,
472,472,2,2023-05-19,,,ativo,
473,473,2,2023-07-19,,12.0,ativo,
474,474,1,2023-06-02,2023-08-30,12.0,cancelado,Atendimento ruim
475,475,2,2022-10-30,2023-09-07,,cancelado,Outros
476,476,3,2023-07-13,,,ativo,
477,477,2,2022-02-16,,12.0,ativo,
478,478,2,2022-05-25,,,ativo,
479,479,2,2023-11-08,,12.0,ativo,
480,480,3,2023-01-26,,12.0,ativo,
481,481,4,2022-05-26,2023-08-22,,cancelado,Migracao para concorrente
482,482,3,2023-10-23,,,ativo,
483,483,4,2022-12-13,2023-04-27,,cancelado,Preço alto
484,484,3,2022-09-07,,12.0,ativo,
485,485,1,2023-03-27,2024-03-04,,cancelado,Problemas de rede
486,486,1,2022-11-25,,12.0,ativo,
487,487,2,2022-11-25,,12.0,ativo,
488,488,4,2023-10-19,,24.0,ativo,
489,489,2,2023-01-20,,12.0,ativo,
490,490,3,2022-03-13,,12.0,ativo,
491,491,1,2023-06-11,,12.0,ativo,
492,492,4,2022-03-15,2023-03-03,,cancelado,Outros
493,493,2,2022-12-03,,,ativo,
494,494,4,2023-04-07,,12.0,ativo,
495,495,1,2022-06-11,,,ativo,
496,496,1,2022-05-12,,,ativo,
497,497,3,2023-05-20,,12.0,ativo,
498,498,3,2023-08-02,,,ativo,
499,499,2,2023-09-11,,12.0,ativo,
500,500,1,2024-01-27,,24.0,ativo,
501,501,3,2022-03-19,2023-05-24,,cancelado,Problemas de rede
502,502,4,2023-10-14,,12.0,ativo,
503,503,2,2022-07-28,,,ativo,
504,504,3,2022-06-02,,24.0,ativo,
505,505,3,2023-09-14,,12.0,ativo,
506,506,2,2022-01-27,2022-04-24,24.0,cancelado,Outros
507,507,2,2023-09-04,,12.0,ativo,
508,508,1,2023-08-07,,12.0,ativo,
509,509,1,2022-08-12,2024-04-21,12.0,cancelado,Atendimento ruim
510,510,2,2022-07-15,,,ativo,
511,511,4,2023-06-16,,24.0,ativo,
512,512,3,2023-08-02,2024-03-24,,cancelado,Problemas de rede
513,513,3,2024-01-15,,24.0,ativo,
514,514,4,2024-03-13,,24.0,ativo,
515,515,2,2022-10-14,,24.0,ativo,
516,516,1,2024-02-14,,24.0,ativo,
517,517,2,2024-04-04,,12.0,ativo,
518,518,2,2022-02-05,,24.0,ativo,
519,519,1,2022-08-08,,24.0,ativo,
520,520,1,2024-04-12,,24.0,ativo,
521,521,1,2023-08-22,2024-09-02,12.0,cancelado,Outros
522,522,1,2024-06-30,,24.0,ativo,
523,523,3,2024-01-06,,,ativo,
524,524,1,2023-04-06,,24.0,ativo,
525,525,4,2023-10-03,2024-10-22,24.0,cancelado,Outros
526,526,3,2022-08-17,,,ativo,
527,527,3,2023-03-18,,12.0,ativo,
528,528,4,2023-01-05,2024-01-21,12.0,cancelado,Migracao para concorrente
529,529,1,2022-07-16,,12.0,ativo,
530,530,2,2022-11-15,,,ativo,
531,531,2,2023-09-28,2024-10-28,,cancelado,Migracao para concorrente
532,532,2,2023-02-18,2024-05-08,12.0,cancelado,Migracao para concorrente
533,533,2,2023-10-14,,12.0,ativo,
534,534,2,2022-10-29,,12.0,ativo,
535,535,2,2023-03-26,,,ativo,
536,536,1,2024-03-09,,,ativo,
537,537,1,2023-08-26,,24.0,ativo,
538,538,2,2023-05-04,,12.0,ativo,
539,539,1,2022-11-13,,24.0,ativo,
540,540,4,2022-11-27,,,ativo,
541,541,1,2022-02-01,,24.0,ativo,
542,542,2,2023-06-12,,,ativo,
543,543,2,2022-06-28,2023-08-27,24.0,cancelado,Atendimento ruim
544,544,1,2024-06-17,,12.0,ativo,
545,545,2,2022-04-29,,,ativo,
546,546,1,2023-10-12,,,ativo,
547,547,1,2024-06-22,,24.0,ativo,
548,548,3,2023-07-17,,12.0,ativo,
549,549,3,2023-11-05,,24.0,ativo,
550,550,3,2023-07-17,,,ativo,
551,551,4,2022-06-19,,12.0,ativo,
552,552,3,2022-09-17,,,ativo,
553,553,1,2022-06-23,2024-03-07,12.0,cancelado,Problemas de rede
554,554,3,2023-10-14,,,ativo,
555,555,3,2023-12-30,,12.0,ativo,
556,556,4,2022-09-29,,,ativo,
557,557,1,2023-08-11,,24.0,ativo,
558,558,1,2024-01-01,,,ativo,
559,559,1,2022-04-20,2024-02-29,12.0,cancelado,Atendimento ruim
560,560,4,2024-03-09,,24.0,ativo,
561,561,2,2022-05-29,,12.0,ativo,
562,562,1,2022-10-19,2023-09-20,12.0,cancelado,Preço alto
