ticket_id,customer_id,data_abertura,data_fechamento,categoria,status,sla_atingido
162,144,2023-02-20,2023-02-26,Atendimento,fechado,nao
163,144,2024-03-18,2024-03-31,Cobranca,fechado,
164,144,2024-05-30,,Cobranca,pendente,sim
165,144,2024-06-11,2024-06-18,Rede,fechado,sim
166,144,2023-07-08,2023-07-17,Rede,fechado,
167,144,2023-08-15,,Tecnico,pendente,
168,145,2023-02-23,2023-03-08,Rede,fechado,nao
169,147,2023-12-24,2023-12-29,Atendimento,fechado,sim
170,147,2023-12-07,2023-12-13,Tecnico,fechado,nao
171,147,2023-01-15,,Rede,pendente,
172,147,2023-05-23,2023-06-06,Rede,fechado,sim
173,147,2024-05-06,2024-05-18,Tecnico,fechado,sim
174,150,2024-12-19,2025-01-02,Rede,fechado,sim
175,152,2023-06-20,2023-06-21,Tecnico,fechado,
176,154,2024-01-30,2024-02-07,Tecnico,fechado,nao
177,154,2024-09-10,2024-09-23,Cobranca,fechado,nao
178,155,2024-09-19,2024-09-26,Atendimento,fechado,
179,156,2024-06-06,2024-06-09,Cobranca,fechado,nao
180,156,2024-05-16,2024-05-16,Cobranca,fechado,sim
181,158,2024-02-01,2024-02-10,Tecnico,fechado,nao
182,158,2024-08-10,2024-08-24,Atendimento,fechado,sim
183,158,2023-04-07,2023-04-19,Tecnico,fechado,sim
184,158,2024-10-09,,Atendimento,aberto,nao
185,158,2023-07-01,,Cobranca,aberto,sim
186,158,2023-09-25,,Cobranca,aberto,nao
187,161,2024-04-16,2024-04-22,Cobranca,fechado,sim
188,161,2023-06-13,2023-06-20,Atendimento,fechado,sim
189,162,2023-05-01,2023-05-06,Rede,fechado,sim
190,162,2023-02-13,,Cobranca,aberto,sim
191,162,2024-12-16,2024-12-30,Tecnico,fechado,sim
192,163,2023-10-18,2023-10-21,Cobranca,fechado,sim
193,163,2025-01-05,2024-10-20,Atendimento,fechado,sim
194,163,2024-06-03,2024-06-17,Rede,fechado,nao
195,164,2023-11-07,2023-11-21,Atendimento,fechado,sim
196,164,2024-12-12,2024-12-24,Cobranca,fechado,sim
197,165,2024-05-07,2024-05-13,Cobranca,fechado,sim
198,165,2024-02-29,,Rede,aberto,
199,165,2023-04-04,2023-04-06,Tecnico,fechado,sim
200,165,2023-05-29,2023-06-10,Atendimento,fechado,sim
201,168,2023-10-12,,Cobranca,pendente,sim
202,168,2024-08-28,2024-09-01,Tecnico,fechado,sim
203,169,2023-09-22,2023-10-03,Cobranca,fechado,sim
204,169,2023-01-12,2023-01-17,Atendimento,fechado,nao
205,170,2024-12-24,2024-12-25,Rede,fechado,sim
206,172,2023-07-16,,Atendimento,aberto,sim
207,175,2024-10-16,2024-10-20,Atendimento,fechado,sim
208,175,2023-04-06,,Atendimento,pendente,nao
209,177,2024-05-24,2024-05-24,Cobranca,fechado,sim
210,178,2023-08-10,2023-08-14,Cobranca,fechado,sim
211,179,2024-08-23,2024-09-06,Cobranca,fechado,
212,179,2024-12-17,2024-12-27,Rede,fechado,sim
213,180,2023-03-28,2023-03-30,Atendimento,fechado,sim
214,180,2023-08-08,2023-08-18,Rede,fechado,sim
215,181,2023-10-06,2023-10-09,Tecnico,fechado,sim
216,181,2023-04-06,2023-04-07,Atendimento,fechado,nao
217,182,2023-11-03,2023-11-10,Cobranca,fechado,
218,182,2024-01-27,2024-02-05,Cobranca,fechado,sim
219,182,2024-04-25,2024-04-30,Cobranca,fechado,sim
220,185,2024-07-28,2024-08-04,Atendimento,fechado,nao
221,187,2023-07-04,2023-07-04,Cobranca,fechado,sim
222,188,2023-08-30,2023-09-05,Tecnico,fechado,sim
223,189,2024-06-16,2024-06-19,Tecnico,fechado,nao
224,191,2023-07-09,2023-07-15,Rede,fechado,sim
225,192,2023-05-07,,Cobranca,pendente,sim
226,192,2023-06-22,2023-06-28,Cobranca,fechado,sim
227,194,2024-03-09,,Rede,aberto,sim
228,194,2023-03-28,2023-04-02,Rede,fechado,nao
229,195,2023-05-27,2023-05-31,Rede,fechado,sim
230,195,2024-03-16,2024-03-20,Tecnico,fechado,
231,197,2023-07-03,,Cobranca,pendente,nao
232,198,2023-02-08,2023-02-18,Cobranca,fechado,sim
233,199,2024-01-03,,Atendimento,pendente,sim
234,200,2023-03-30,2023-04-01,Rede,fechado,sim
235,200,2023-06-27,,Cobranca,aberto,nao
236,201,2024-07-07,2024-07-10,Atendimento,fechado,nao
237,202,2023-10-04,2023-10-05,Rede,fechado,nao
238,202,2024-03-07,2024-03-08,Atendimento,fechado,sim
239,203,2023-06-07,2023-06-15,Tecnico,fechado,sim
240,205,2024-05-04,,Atendimento,pendente,sim
241,205,2023-06-11,2023-06-16,Cobranca,fechado,sim
242,205,2024-06-04,,Cobranca,aberto,nao
243,207,2024-08-19,,Cobranca,aberto,sim
244,207,2024-11-16,2024-11-29,Rede,fechado,sim
245,209,2024-04-08,,Rede,aberto,sim
246,210,2023-07-30,2023-08-01,Atendimento,fechado,sim
247,210,2024-06-15,,Rede,pendente,sim
248,212,2024-05-31,,Rede,aberto,sim
249,213,2023-01-18,2023-01-19,Tecnico,fechado,
250,214,2023-10-26,2023-10-29,Rede,fechado,nao
251,214,2023-03-22,2023-04-02,Cobranca,fechado,
252,216,2023-03-26,2023-04-01,Atendimento,fechado,sim
253,217,2024-07-01,2024-07-09,Atendimento,fechado,sim
254,218,2023-08-30,2023-09-03,Rede,fechado,sim
255,218,2024-06-09,2024-06-20,Atendimento,fechado,sim
256,219,2023-06-19,2023-06-21,Atendimento,fechado,
257,219,2023-03-05,2023-03-14,Cobranca,fechado,
258,221,2023-05-18,,Rede,aberto,sim
259,223,2023-01-12,2023-01-19,Cobranca,fechado,nao
260,223,2023-08-03,,Rede,aberto,sim
261,225,2023-07-04,,Cobranca,aberto,sim
262,225,2023-01-28,2023-01-30,Tecnico,fechado,nao
263,229,2024-04-07,2024-04-19,Rede,fechado,nao
264,230,2024-12-28,,Atendimento,aberto,sim
265,231,2023-06-29,,Rede,aberto,nao
266,231,2023-03-21,,Atendimento,pendente,sim
267,232,2024-06-23,,Cobranca,aberto,
268,232,2024-02-18,2024-02-18,Cobranca,fechado,sim
269,232,2024-12-26,,Cobranca,aberto,sim
270,232,2023-06-24,,Cobranca,aberto,nao
271,233,2023-11-15,2023-11-23,Tecnico,fechado,nao
272,237,2024-06-04,2024-06-12,Cobranca,fechado,nao
273,240,2023-11-06,2023-11-06,Atendimento,fechado,sim
274,242,2024-11-24,2024-12-05,Atendimento,fechado,sim
275,242,2024-05-05,2024-05-16,Atendimento,fechado,sim
276,244,2023-01-10,,Atendimento,aberto,sim
277,244,2023-11-04,2023-11-16,Tecnico,fechado,sim
278,245,2024-12-28,,Rede,pendente,nao
279,245,2024-06-15,,Cobranca,aberto,sim
280,246,2023-11-05,2023-11-17,Rede,fechado,sim
281,248,2024-12-24,2024-12-25,Tecnico,fechado,nao
282,249,2024-08-06,2024-08-11,Tecnico,fechado,sim
283,249,2024-06-30,2024-07-04,Tecnico,fechado,nao
284,249,2024-08-18,2024-09-01,Rede,fechado,
285,250,2024-11-05,2024-11-05,Atendimento,fechado,
286,250,2024-11-29,,Atendimento,aberto,sim
287,251,2024-11-12,2024-11-16,Cobranca,fechado,nao
288,253,2023-06-16,2023-06-26,Cobranca,fechado,sim
289,253,2023-11-25,2023-12-02,Tecnico,fechado,sim
290,255,2023-01-28,2023-01-30,Cobranca,fechado,nao
291,255,2023-09-24,,Cobranca,pendente,sim
292,256,2023-11-12,2023-11-19,Atendimento,fechado,nao
293,257,2024-07-16,2024-07-18,Cobranca,fechado,
294,257,2024-10-16,2024-10-25,Tecnico,fechado,sim
295,257,2024-10-05,,Tecnico,pendente,nao
296,258,2024-03-19,2024-03-20,Atendimento,fechado,sim
297,259,2023-06-14,2023-06-18,Rede,fechado,sim
298,260,2023-07-30,,Atendimento,aberto,nao
299,260,2024-05-17,2024-05-25,Cobranca,fechado,nao
300,260,2024-01-03,2024-01-08,Atendimento,fechado,nao
301,262,2023-03-03,,Cobranca,pendente,
302,262,2024-01-08,,Tecnico,aberto,sim
303,263,2024-03-23,,Rede,pendente,nao
304,263,2023-06-07,2023-06-11,Atendimento,fechado,nao
305,264,2024-01-22,,Tecnico,pendente,sim
306,265,2023-08-12,2023-08-14,Cobranca,fechado,sim
307,265,2024-07-16,2024-07-21,Cobranca,fechado,nao
308,266,2024-03-11,,Cobranca,aberto,sim
309,268,2023-08-09,2023-08-23,Cobranca,fechado,nao
310,268,2023-11-02,,Atendimento,aberto,sim
311,268,2024-09-22,2024-09-25,Rede,fechado,nao
312,269,2023-12-22,2023-12-22,Cobranca,fechado,
313,269,2023-02-26,2023-02-28,Cobranca,fechado,sim
314,269,2023-09-20,2023-09-23,Tecnico,fechado,sim
315,271,2024-01-26,,Cobranca,aberto,nao
316,273,2024-04-26,,Atendimento,aberto,sim
317,273,2023-02-13,,Rede,aberto,sim
318,273,2024-07-05,2024-07-17,Atendimento,fechado,nao
319,274,2023-11-04,2023-11-11,Cobranca,fechado,nao
320,274,2024-08-26,,Atendimento,aberto,sim
321,274,2023-11-17,2023-11-23,Atendimento,fechado,sim
322,275,2024-04-07,2024-04-12,Tecnico,fechado,sim
323,275,2024-03-20,2024-03-26,Tecnico,fechado,nao
324,275,2024-05-14,,Rede,pendente,nao
325,276,2024-06-30,2024-06-30,Cobranca,fechado,nao
326,276,2023-03-25,2023-03-26,Rede,fechado,sim
327,276,2023-03-31,2023-04-09,Rede,fechado,nao
328,278,2024-03-04,,Rede,aberto,sim
329,278,2024-04-29,2024-05-09,Tecnico,fechado,nao
330,278,2023-09-27,,Cobranca,pendente,nao
331,279,2023-09-03,2023-09-07,Cobranca,fechado,nao
332,280,2023-03-03,,Tecnico,pendente,
333,281,2023-04-18,2023-04-20,Tecnico,fechado,sim
334,282,2024-10-21,,Cobranca,pendente,sim
335,282,2024-03-30,2024-04-08,Atendimento,fechado,nao
336,285,2024-03-30,,Atendimento,aberto,
337,287,2025-01-05,,Atendimento,pendente,nao
338,287,2024-03-12,2024-03-12,Cobranca,fechado,
339,288,2024-12-18,2024-12-18,Tecnico,fechado,nao
340,289,2024-03-19,2024-03-29,Atendimento,fechado,
341,289,2024-01-27,2024-01-27,Atendimento,fechado,sim
342,289,2024-03-07,2024-03-07,Tecnico,fechado,sim
343,290,2024-11-17,2024-11-26,Cobranca,fechado,sim
344,290,2023-09-27,2023-09-27,Rede,fechado,sim
345,290,2023-09-28,2023-10-01,Tecnico,fechado,nao
346,293,2024-07-01,,Cobranca,aberto,nao
347,293,2024-04-13,2024-04-23,Cobranca,fechado,sim
348,294,2024-04-01,,Atendimento,pendente,sim
349,295,2024-07-18,2024-07-20,Tecnico,fechado,
350,295,2023-05-06,2023-05-15,Tecnico,fechado,
351,296,2023-11-28,2023-12-12,Atendimento,fechado,sim
352,296,2023-10-25,2023-11-08,Rede,fechado,nao
353,296,2023-01-23,2023-01-29,Atendimento,fechado,sim
354,297,2024-12-15,2024-12-23,Tecnico,fechado,sim
355,298,2023-03-08,2023-03-17,Cobranca,fechado,sim
356,299,2024-12-16,,Rede,pendente,
357,299,2023-09-05,,Atendimento,pendente,sim
358,300,2024-09-28,2024-10-02,Atendimento,fechado,nao
359,300,2023-08-19,2023-08-19,Rede,fechado,sim
360,301,2024-05-16,2024-05-22,Atendimento,fechado,
361,302,2024-02-24,2024-02-27,Atendimento,fechado,
362,303,2024-06-15,,Rede,pendente,sim
363,303,2023-03-09,2023-03-19,Tecnico,fechado,
364,304,2023-07-14,,Cobranca,aberto,sim
365,304,2023-03-14,2023-03-28,Tecnico,fechado,nao
366,304,2023-11-04,,Atendimento,aberto,sim
367,305,2023-10-26,,Atendimento,pendente,sim
368,307,2023-08-27,,Tecnico,aberto,sim
369,307,2024-07-29,2024-08-04,Tecnico,fechado,sim
370,307,2023-08-05,2023-08-17,Tecnico,fechado,sim
371,308,2023-07-18,2023-07-29,Atendimento,fechado,sim
372,309,2024-04-11,2024-04-17,Cobranca,fechado,nao
373,310,2023-07-25,2023-08-02,Tecnico,fechado,nao
374,310,2023-03-26,,Rede,pendente,sim
375,311,2023-04-06,2023-04-07,Cobranca,fechado,sim
376,312,2023-08-27,2023-08-30,Cobranca,fechado,sim
377,313,2023-04-14,,Atendimento,aberto,sim
378,313,2023-10-21,2023-10-22,Rede,fechado,sim
379,316,2023-12-10,2023-12-22,Cobranca,fechado,sim
380,316,2024-05-01,2024-05-11,Atendimento,fechado,nao
381,317,2023-09-08,,Rede,aberto,sim
382,318,2023-12-15,,Atendimento,aberto,sim
383,319,2023-10-14,2023-10-14,Atendimento,fechado,sim
384,320,2024-09-10,2024-09-17,Cobranca,fechado,sim
385,322,2023-05-28,2023-06-02,Cobranca,fechado,sim
386,322,2024-05-21,,Rede,aberto,sim
387,324,2024-07-16,,Rede,aberto,
388,325,2024-07-05,2024-07-18,Rede,fechado,sim
389,326,2024-10-28,,Tecnico,pendente,sim
390,327,2024-06-12,2024-06-17,Atendimento,fechado,nao
391,327,2024-05-09,2024-05-11,Cobranca,fechado,nao
392,327,2023-04-26,,Rede,pendente,sim
393,328,2023-03-23,2023-04-02,Rede,fechado,sim
394,330,2024-11-17,,Cobranca,aberto,sim
395,332,2023-10-01,,Rede,aberto,sim
396,335,2024-02-25,,Tecnico,aberto,nao
397,337,2024-01-15,2024-01-26,Cobranca,fechado,nao
398,338,2024-04-28,2024-05-04,Rede,fechado,sim
399,339,2023-01-05,2023-01-09,Rede,fechado,sim
400,340,2023-05-22,2023-06-02,Rede,fechado,nao
401,341,2023-12-25,2023-12-31,Cobranca,fechado,sim
402,342,2023-04-13,2023-04-21,Atendimento,fechado,sim
403,342,2024-11-01,,Rede,aberto,nao
404,343,2023-01-28,,Cobranca,aberto,nao
405,344,2023-11-19,,Rede,aberto,sim
406,344,2024-02-04,2024-02-07,Cobranca,fechado,sim
407,344,2023-01-13,2023-01-27,Rede,fechado,sim
408,345,2024-07-29,2024-08-12,Cobranca,fechado,
409,347,2023-05-18,2023-05-28,Atendimento,fechado,sim
410,349,2024-12-16,,Tecnico,aberto,sim
411,349,2024-04-02,2024-04-10,Atendimento,fechado,sim
412,349,2023-10-08,,Rede,aberto,sim
413,351,2024-10-04,2024-10-16,Atendimento,fechado,sim
414,352,2024-02-21,2024-02-27,Rede,fechado,sim
415,352,2023-01-08,,Cobranca,aberto,sim
416,353,2023-02-20,2023-02-20,Tecnico,fechado,sim
417,354,2024-10-30,2024-11-05,Atendimento,fechado,sim
418,355,2023-05-17,2023-05-22,Rede,fechado,sim
419,357,2024-10-04,2024-10-12,Atendimento,fechado,nao
420,358,2023-09-22,2023-09-25,Tecnico,fechado,nao
421,359,2023-06-06,2023-06-07,Tecnico,fechado,sim
422,360,2023-09-20,2023-10-02,Tecnico,fechado,nao
423,363,2023-01-12,2023-01-12,Cobranca,fechado,
424,364,2023-09-26,2023-10-05,Rede,fechado,sim
425,365,2023-01-10,,Cobranca,pendente,sim
426,365,2023-02-05,2023-02-06,Atendimento,fechado,nao
427,365,2023-07-15,,Cobranca,aberto,sim
428,366,2023-06-01,,Cobranca,pendente,sim
429,366,2024-10-08,2024-10-11,Atendimento,fechado,sim
430,367,2023-12-24,2023-12-28,Rede,fechado,nao
431,369,2024-05-05,2024-05-05,Tecnico,fechado,
432,369,2023-03-31,2023-04-01,Atendimento,fechado,nao
433,370,2024-02-17,2024-02-25,Rede,fechado,
434,371,2024-01-03,,Tecnico,aberto,nao
435,371,2023-09-09,2023-09-14,Tecnico,fechado,sim
436,372,2024-07-19,2024-07-29,Tecnico,fechado,sim
437,375,2024-07-04,2024-07-13,Tecnico,fechado,sim
438,377,2024-05-01,2024-05-05,Tecnico,fechado,nao
439,378,2025-01-05,2024-11-17,Rede,fechado,nao
440,379,2023-01-20,2023-01-20,Tecnico,fechado,sim
441,379,2024-01-16,2024-01-23,Rede,fechado,sim
442,380,2023-06-06,2023-06-16,Atendimento,fechado,nao
443,380,2024-08-30,,Cobranca,pendente,
444,380,2024-11-03,,Atendimento,pendente,sim
445,383,2025-01-05,2024-05-03,Tecnico,fechado,
446,383,2023-06-13,2023-06-26,Atendimento,fechado,nao
447,384,2024-11-22,2024-11-27,Rede,fechado,sim
448,385,2024-05-06,2024-05-10,Rede,fechado,nao
449,385,2023-02-23,2023-03-05,Tecnico,fechado,sim
450,388,2023-10-13,2023-10-27,Rede,fechado,nao
451,388,2024-09-27,,Rede,aberto,sim
452,388,2023-03-08,2023-03-16,Cobranca,fechado,nao
453,390,2024-02-04,2024-02-07,Rede,fechado,nao
454,390,2023-12-07,,Tecnico,aberto,sim
455,391,2024-08-09,,Tecnico,aberto,sim
456,391,2024-05-28,2024-05-29,Rede,fechado,sim
457,392,2024-01-11,2024-01-18,Rede,fechado,nao
458,392,2023-09-11,,Atendimento,aberto,sim
459,395,2023-09-03,2023-09-14,Rede,fechado,nao
460,396,2024-09-06,,Cobranca,pendente,sim
461,396,2023-06-18,,Rede,pendente,sim
462,398,2024-10-22,2024-10-30,Atendimento,fechado,sim
463,399,2024-08-24,2024-08-28,Tecnico,fechado,sim
464,399,2023-08-22,2023-08-29,Rede,fechado,sim
465,400,2023-03-30,2023-04-01,Tecnico,fechado,sim
466,400,2023-08-10,2023-08-18,Atendimento,fechado,nao
467,401,2023-09-10,2023-09-16,Atendimento,fechado,sim
468,401,2024-06-20,,Cobranca,pendente,nao
469,401,2023-03-15,,Rede,aberto,sim
470,402,2024-06-02,2024-06-14,Cobranca,fechado,sim
471,402,2023-11-08,,Atendimento,aberto,nao
472,402,2023-05-29,2023-06-02,Tecnico,fechado,sim
473,403,2023-07-02,2023-07-10,Rede,fechado,nao
474,404,2023-03-02,2023-03-04,Cobranca,fechado,nao
475,404,2023-04-08,2023-04-13,Atendimento,fechado,sim
476,405,2024-07-23,2024-07-31,Atendimento,fechado,nao
477,405,2023-12-27,2024-01-04,Tecnico,fechado,sim
478,405,2024-02-03,2024-02-15,Rede,fechado,nao
479,406,2024-10-20,2024-10-20,Rede,fechado,nao
480,406,2023-04-15,2023-04-20,Rede,fechado,
481,411,2023-12-24,2024-01-04,Tecnico,fechado,sim
482,411,2023-06-17,2023-06-17,Tecnico,fechado,sim
483,411,2024-12-04,2024-12-18,Atendimento,fechado,sim
484,412,2024-10-25,,Tecnico,aberto,nao
485,412,2024-01-29,,Tecnico,pendente,nao
486,413,2023-03-12,2023-03-15,Rede,fechado,sim
487,414,2024-08-08,2024-08-14,Cobranca,fechado,sim
488,414,2023-09-10,2023-09-15,Tecnico,fechado,sim
489,414,2024-01-05,2024-01-06,Atendimento,fechado,nao
490,415,2024-03-13,,Rede,aberto,sim
491,415,2023-06-18,,Atendimento,aberto,nao
492,416,2023-01-07,2023-01-09,Rede,fechado,sim
