contrato_id;customer_id;plano_id;uf;data_inicio;data_cancelamento;status_churn;data_referencia;tempo_de_casa_dias;tempo_de_casa_meses;inicio_janela_90d;fim_janela_90d
177;177;1;RS;2022-08-25;;ativo;2024-12-31;859;28;2024-10-02;2024-12-31
178;178;2;PE;2024-05-30;;ativo;2024-12-31;215;7;2024-10-02;2024-12-31
179;179;4;BA;2024-02-03;;ativo;2024-12-31;332;11;2024-10-02;2024-12-31
180;180;1;RJ;2022-06-23;;ativo;2024-12-31;922;30;2024-10-02;2024-12-31
181;181;1;RS;2022-08-07;2022-12-25;cancelou;2022-12-25;140;4;2022-09-26;2022-12-25
182;182;1;RJ;2024-02-28;;ativo;2024-12-31;307;10;2024-10-02;2024-12-31
183;183;1;MG;2023-07-05;;ativo;2024-12-31;545;18;2024-10-02;2024-12-31
184;184;1;BA;2022-12-19;;ativo;2024-12-31;743;24;2024-10-02;2024-12-31
185;185;2;CE;2022-03-30;2022-09-22;cancelou;2022-09-22;176;5;2022-06-24;2022-09-22
186;186;2;PR;2024-03-06;;ativo;2024-12-31;300;10;2024-10-02;2024-12-31
187;187;1;RS;2024-05-06;;ativo;2024-12-31;239;7;2024-10-02;2024-12-31
188;188;2;PR;2022-08-15;;ativo;2024-12-31;869;28;2024-10-02;2024-12-31
189;189;2;SP;2022-02-19;;ativo;2024-12-31;1046;34;2024-10-02;2024-12-31
190;190;1;RJ;2024-06-01;;ativo;2024-12-31;213;7;2024-10-02;2024-12-31
191;191;1;RJ;2023-05-23;2024-08-29;cancelou;2024-08-29;464;15;2024-05-31;2024-08-29
192;192;1;SP;2022-09-06;;ativo;2024-12-31;847;28;2024-10-02;2024-12-31
193;193;3;CE;2023-08-12;;ativo;2024-12-31;507;16;2024-10-02;2024-12-31
194;194;1;SP;2022-06-14;;ativo;2024-12-31;931;31;2024-10-02;2024-12-31
195;195;1;PE;2023-10-30;2024-08-10;cancelou;2024-08-10;285;9;2024-05-12;2024-08-10
196;196;1;RS;2024-02-11;;ativo;2024-12-31;324;10;2024-10-02;2024-12-31
197;197;2;RJ;2022-12-15;2024-03-26;cancelou;2024-03-26;467;15;2023-12-27;2024-03-26
198;198;2;PE;2023-07-16;2024-06-20;cancelou;2024-06-20;340;11;2024-03-22;2024-06-20
199;199;1;RJ;2023-11-30;2024-11-17;cancelou;2024-11-17;353;11;2024-08-19;2024-11-17
200;200;2;SP;2024-06-25;;ativo;2024-12-31;189;6;2024-10-02;2024-12-31
201;201;1;SP;2023-10-28;;ativo;2024-12-31;430;14;2024-10-02;2024-12-31
202;202;4;SP;2022-07-18;;ativo;2024-12-31;897;29;2024-10-02;2024-12-31
203;203;2;RJ;2022-03-10;;ativo;2024-12-31;1027;34;2024-10-02;2024-12-31
204;204;4;SP;2024-02-27;;ativo;2024-12-31;308;10;2024-10-02;2024-12-31
205;205;2;SP;2022-12-01;;ativo;2024-12-31;761;25;2024-10-02;2024-12-31
206;206;1;CE;2024-01-17;;ativo;2024-12-31;349;11;2024-10-02;2024-12-31
207;207;1;SP;2022-06-20;;ativo;2024-12-31;925;30;2024-10-02;2024-12-31
208;208;2;RS;2022-09-14;2022-12-18;cancelou;2022-12-18;95;3;2022-09-19;2022-12-18
209;209;2;RJ;2023-08-02;;ativo;2024-12-31;517;17;2024-10-02;2024-12-31
210;210;1;MG;2023-05-06;;ativo;2024-12-31;605;20;2024-10-02;2024-12-31
211;211;1;PR;2022-09-13;;ativo;2024-12-31;840;28;2024-10-02;2024-12-31
212;212;2;RJ;2022-01-07;2023-11-26;cancelou;2023-11-26;688;22;2023-08-28;2023-11-26
213;213;1;RS;2023-02-22;2024-08-22;cancelou;2024-08-22;547;18;2024-05-24;2024-08-22
214;214;2;RJ;2022-12-17;;ativo;2024-12-31;745;24;2024-10-02;2024-12-31
215;215;3;PE;2022-08-02;;ativo;2024-12-31;882;29;2024-10-02;2024-12-31
216;216;2;PE;2023-06-07;2023-11-07;cancelou;2023-11-07;153;5;2023-08-09;2023-11-07
217;217;1;PR;2022-08-13;;ativo;2024-12-31;871;29;2024-10-02;2024-12-31
218;218;3;RJ;2024-05-07;;ativo;2024-12-31;238;7;2024-10-02;2024-12-31
219;219;1;PR;2024-05-26;;ativo;2024-12-31;219;7;2024-10-02;2024-12-31
220;220;1;BA;2024-04-17;2024-08-08;cancelou;2024-08-08;113;3;2024-05-10;2024-08-08
221;221;2;RJ;2023-09-21;;ativo;2024-12-31;467;15;2024-10-02;2024-12-31
222;222;2;SP;2022-05-25;;ativo;2024-12-31;951;31;2024-10-02;2024-12-31
223;223;1;SP;2022-02-08;2022-04-23;cancelou;2022-04-23;74;2;2022-01-23;2022-04-23
224;224;3;BA;2024-04-27;;ativo;2024-12-31;248;8;2024-10-02;2024-12-31
225;225;1;CE;2023-09-09;;ativo;2024-12-31;479;15;2024-10-02;2024-12-31
226;226;1;BA;2023-02-10;;ativo;2024-12-31;690;23;2024-10-02;2024-12-31
227;227;1;BA;2022-06-22;;ativo;2024-12-31;923;30;2024-10-02;2024-12-31
228;228;1;PR;2024-03-06;;ativo;2024-12-31;300;10;2024-10-02;2024-12-31
229;229;2;SP;2022-07-24;;ativo;2024-12-31;891;29;2024-10-02;2024-12-31
230;230;1;SP;2023-06-13;;ativo;2024-12-31;567;18;2024-10-02;2024-12-31
231;231;3;SP;2023-02-02;;ativo;2024-12-31;698;23;2024-10-02;2024-12-31
232;232;2;BA;2024-04-18;;ativo;2024-12-31;257;8;2024-10-02;2024-12-31
233;233;2;CE;2024-06-02;;ativo;2024-12-31;212;7;2024-10-02;2024-12-31
234;234;2;SP;2023-09-15;;ativo;2024-12-31;473;15;2024-10-02;2024-12-31
235;235;2;RJ;2023-06-08;2024-01-18;cancelou;2024-01-18;224;7;2023-10-20;2024-01-18
236;236;1;RJ;2022-02-22;2024-02-06;cancelou;2024-02-06;714;23;2023-11-08;2024-02-06
237;237;3;RJ;2023-01-10;2023-10-11;cancelou;2023-10-11;274;9;2023-07-13;2023-10-11
238;238;2;RS;2023-01-03;2024-05-13;cancelou;2024-05-13;496;16;2024-02-13;2024-05-13
239;239;2;PR;2022-08-11;;ativo;2024-12-31;873;29;2024-10-02;2024-12-31
240;240;2;RJ;2022-11-22;2023-03-12;cancelou;2023-03-12;110;3;2022-12-12;2023-03-12
241;241;1;BA;2023-06-20;;ativo;2024-12-31;560;18;2024-10-02;2024-12-31
242;242;1;RJ;2022-05-28;;ativo;2024-12-31;948;31;2024-10-02;2024-12-31
243;243;4;MG;2024-05-08;;ativo;2024-12-31;237;7;2024-10-02;2024-12-31
244;244;1;PR;2024-06-15;;ativo;2024-12-31;199;6;2024-10-02;2024-12-31
245;245;3;RJ;2022-10-21;;ativo;2024-12-31;802;26;2024-10-02;2024-12-31
246;246;2;SP;2022-08-12;2023-08-27;cancelou;2023-08-27;380;12;2023-05-29;2023-08-27
247;247;2;PR;2023-04-14;;ativo;2024-12-31;627;20;2024-10-02;2024-12-31
248;248;3;RS;2024-01-24;;ativo;2024-12-31;342;11;2024-10-02;2024-12-31
249;249;1;SP;2022-04-24;;ativo;2024-12-31;982;32;2024-10-02;2024-12-31
250;250;2;SP;2022-05-09;;ativo;2024-12-31;967;32;2024-10-02;2024-12-31
251;251;1;RS;2022-03-12;;ativo;2024-12-31;1025;34;2024-10-02;2024-12-31
252;252;1;SP;2024-06-02;;ativo;2024-12-31;212;7;2024-10-02;2024-12-31
253;253;3;SP;2023-04-14;2024-12-15;cancelou;2024-12-15;611;20;2024-09-16;2024-12-15
254;254;3;RJ;2022-05-13;;ativo;2024-12-31;963;32;2024-10-02;2024-12-31
255;255;1;RJ;2023-01-22;;ativo;2024-12-31;709;23;2024-10-02;2024-12-31
256;256;1;BA;2023-11-29;;ativo;2024-12-31;398;13;2024-10-02;2024-12-31
257;257;1;PR;2023-04-01;;ativo;2024-12-31;640;21;2024-10-02;2024-12-31
258;258;1;PR;2024-02-16;;ativo;2024-12-31;319;10;2024-10-02;2024-12-31
259;259;4;RJ;2024-04-29;;ativo;2024-12-31;246;8;2024-10-02;2024-12-31
260;260;4;BA;2022-09-17;;ativo;2024-12-31;836;27;2024-10-02;2024-12-31
261;261;2;SP;2024-01-06;;ativo;2024-12-31;360;12;2024-10-02;2024-12-31
262;262;4;RJ;2023-06-03;;ativo;2024-12-31;577;19;2024-10-02;2024-12-31
263;263;1;BA;2024-02-10;;ativo;2024-12-31;325;10;2024-10-02;2024-12-31
264;264;3;SP;2022-02-14;;ativo;2024-12-31;1051;35;2024-10-02;2024-12-31
265;265;2;BA;2022-10-15;;ativo;2024-12-31;808;26;2024-10-02;2024-12-31
266;266;4;MG;2023-08-04;2024-08-21;cancelou;2024-08-21;383;12;2024-05-23;2024-08-21
267;267;1;PR;2024-05-12;;ativo;2024-12-31;233;7;2024-10-02;2024-12-31
268;268;2;MG;2023-03-28;;ativo;2024-12-31;644;21;2024-10-02;2024-12-31
269;269;1;BA;2022-03-19;;ativo;2024-12-31;1018;33;2024-10-02;2024-12-31
270;270;3;RS;2022-01-17;;ativo;2024-12-31;1079;35;2024-10-02;2024-12-31
271;271;2;PR;2022-07-31;;ativo;2024-12-31;884;29;2024-10-02;2024-12-31
272;272;2;RJ;2022-10-11;;ativo;2024-12-31;812;27;2024-10-02;2024-12-31
273;273;2;RJ;2022-04-28;;ativo;2024-12-31;978;32;2024-10-02;2024-12-31
274;274;2;MG;2023-05-06;;ativo;2024-12-31;605;20;2024-10-02;2024-12-31
275;275;2;RJ;2024-04-14;;ativo;2024-12-31;261;8;2024-10-02;2024-12-31
276;276;1;SP;2024-03-25;;ativo;2024-12-31;281;9;2024-10-02;2024-12-31
277;277;3;PE;2024-04-23;;ativo;2024-12-31;252;8;2024-10-02;2024-12-31
278;278;3;RS;2023-02-06;;ativo;2024-12-31;694;23;2024-10-02;2024-12-31
279;279;3;SP;2022-12-30;;ativo;2024-12-31;732;24;2024-10-02;2024-12-31
280;280;2;CE;2024-06-20;;ativo;2024-12-31;194;6;2024-10-02;2024-12-31
281;281;1;SP;2023-07-05;;ativo;2024-12-31;545;18;2024-10-02;2024-12-31
282;282;2;SP;2023-10-24;;ativo;2024-12-31;434;14;2024-10-02;2024-12-31
283;283;4;PE;2022-04-08;2024-02-19;cancelou;2024-02-19;682;22;2023-11-21;2024-02-19
284;284;1;PR;2023-01-06;;ativo;2024-12-31;725;24;2024-10-02;2024-12-31
285;285;3;RS;2022-04-01;;ativo;2024-12-31;1005;33;2024-10-02;2024-12-31
286;286;2;RS;2024-05-15;;ativo;2024-12-31;230;7;2024-10-02;2024-12-31
287;287;3;RJ;2023-09-30;;ativo;2024-12-31;458;15;2024-10-02;2024-12-31
288;288;2;SP;2024-02-10;;ativo;2024-12-31;325;10;2024-10-02;2024-12-31
289;289;3;RS;2023-11-14;;ativo;2024-12-31;413;13;2024-10-02;2024-12-31
